District,HASC,Population,Area,Capital
North and Middle Andaman,IN.AN.NM,"105,597","6,408",Port Blair
North East,IN.DL.NS,"2,241,624","1,483",Delhi
North Garo Hills,IN.ML.GN,,,Resubelpara
North Goa,IN.GA.NG,"818,008","1,736",Panaji
North Sikkim,IN.SK.NS,"43,709","4,226",Mangan
North Tripura,IN.TR.NO,"693,947","2,821",Dharmanagar
North West,IN.DL.NW,"3,656,539","1,483",Delhi
Nuapada,IN.OR.NU,"610,382","3,408",Nuapada
Osmanabad,IN.MH.OS,"1,657,576","7,569",Osmanabad
Pakur,IN.JH.PK,"900,422","1,805",Pakur
Palakkad,IN.KL.PL,"2,809,934","4,480",Palakkad
Palamu,IN.JH.PM,"1,939,869","8,717",Daltonganj
Palghar,IN.MH.PL,,,Palghar
Pali,IN.RJ.PA,"2,037,573","12,387",Pali
Palwal,IN.HR.PW,"1,042,708","2,105",Faridabad
Panchkula,IN.HR.PK,"561,293",816,Panchkula
Panch Mahals,IN.GJ.PC,"2,390,776","5,219",Panch Mahals
Panipat,IN.HR.PP,"1,205,437","1,250",Panipat
Panna,IN.MP.PA,"1,016,520","7,135",Panna
Papum Pare,IN.AR.PA,"176,573","2,875",Yupia
Parbhani,IN.MH.PA,"1,836,086","6,511",Parbhani
Paschim Medinipur,IN.WB.WM,"5,913,457","14,081",Midnapore
Pashchim Singhbhum,IN.JH.WS,"1,502,338","9,906",Chabasa
Patan,IN.GJ.PA,"1,343,734","5,738",Patan
Pathanamthitta,IN.KL.PT,"1,197,412","2,462",Pathanamthitta
Pathankot,IN.PB.PK,,,Pathankot
Patiala,IN.PB.PT,"1,895,686","3,627",Patiala
Patna,IN.BR.PA,"5,838,465","3,202",Patna
Pauri Garhwal,IN.UT.PG,"687,271","5,438",Pauri
Perambalur,IN.TN.PE,"565,223","1,752",Perambalur
Peren,IN.NL.PE,"95,219","3,113",Kohima
Phek,IN.NL.PH,"163,418","2,026",Phek
Pilibhit,IN.UP.PI,"2,031,007","3,499",Pilibhit
Pithoragarh,IN.UT.PI,"483,439","7,110",Pithoragarh
Pondicherry,IN.PY.PO,"950,289",293,Pondicherry
Poonch,IN.JK.PO,"476,835","1,674",Poonch
Porbandar,IN.GJ.PO,"585,449","2,294",Porbandar
Prakasam,IN.AD.PR,"3,397,448","17,626",Ongole
Pratapgarh,IN.RJ.PR,"867,848","4,112",Pratapgarh
Pratapgarh,IN.UP.PR,"3,209,141","3,717",Pratapgarh
Pudukkottai,IN.TN.PU,"1,618,345","4,651",Pudukkottai
Pulwama,IN.JK.PW,"560,440","1,398",Pulwama
Pune,IN.MH.PU,"9,429,408","15,643",Pune
Purba Medinipur,IN.WB.EM,"5,095,875","14,081",Midnapore
Purba Singhbhum,IN.JH.ES,"2,293,919","3,533",Jamshedpur
Puri,IN.OR.PU,"1,698,730","3,055",Puri
Purnia,IN.BR.PU,"3,264,619","3,228",Purnia
Purulia,IN.WB.PU,"2,930,115","6,259",Purulia
Rae Bareli,IN.UP.RL,"3,405,559","4,609",Rae Bareli
Raichur,IN.KA.RA,"1,928,812","6,839",Raichur
Raigarh,IN.CT.RG,"1,493,984","7,068",Raigarh
Raigarh,IN.MH.RG,"2,634,200","7,152",Alibag
Raipur,IN.CT.RA,"4,063,872","13,083",Raipur
Raisen,IN.MP.RS,"1,331,597","8,466",Raisen
Rajauri,IN.JK.RA,"642,415","2,630",Rajauri
Rajgarh,IN.MP.RG,"1,545,814","6,143",Rajgarh
Rajkot,IN.GJ.RK,"3,804,558","11,203",Rajkot
Rajnandgaon,IN.CT.RN,"1,537,133","8,062",Rajnandgaon
Rajsamand,IN.RJ.RA,"1,156,597","3,853",Rajsamand
Ramanagara,IN.KA.RM,"1,082,636","5,815",Bangalore
Ramanathapuram,IN.TN.RA,"1,353,445","4,123",Ramanathapuram
Ramban,IN.JK.RB,"283,713","1,330",Ramban
Ramgarh,IN.JH.RM,"949,443","6,154",Hazaribagh
Rampur,IN.UP.RA,"2,335,819","2,367",Rampur
Ranchi,IN.JH.RN,"2,914,253","7,974",Ranchi
Rangareddi,IN.TG.RA,"5,296,741","7,493",Hyderabad
Ratlam,IN.MP.RL,"1,455,069","4,861",Ratlam
Ratnagiri,IN.MH.RT,"1,615,069","8,208",Ratnagiri
Rayagada,IN.OR.RA,"967,911","7,585",Rayagada
Reasi,IN.JK.RE,"314,667","1,710",Reasi
Rewa,IN.MP.RE,"2,365,106","6,314",Rewa
Rewari,IN.HR.RE,"900,332","1,559",Rewari
Ri-Bhoi,IN.ML.RB,"258,840","2,378",Nongpoh
Rohtak,IN.HR.RO,"1,061,204","1,668",Rohtak
Rohtas,IN.BR.RO,"2,959,918","3,850",Susaram
Rudra Prayag,IN.UT.RP,"242,285","1,896",Rudra Prayag
Rupnagar,IN.PB.RP,"684,627","2,117",Rupnagar
Sabar Kantha,IN.GJ.SB,"2,428,589","7,390",Sabar Kantha
Sagar,IN.MP.SG,"2,378,458","10,252",Sagar
Saharanpur,IN.UP.SA,"3,466,382","3,689",Saharanpur
Saharsa,IN.BR.SH,"1,900,661","1,702",Saharsa
Sahibganj,IN.JH.SA,"1,150,567","1,599",Sahibganj
Saiha,IN.MZ.SA,"56,574","1,414",Saiha
Salem,IN.TN.SA,"3,482,056","5,220",Salem
Samastipur,IN.BR.SM,"4,261,566","2,905",Samastipur
Samba,IN.JK.SM,"318,898",913,Samba
Sambalpur,IN.OR.SA,"1,041,099","6,702",Sambalpur
Sambhal,IN.UP.BM,,,Sambhal
Sangli,IN.MH.SN,"2,822,143","8,572",Sangli
Sangrur,IN.PB.SR,"1,655,169","5,021",Sangrur
Sant Kabir Nagar,IN.UP.SK,"1,715,183","1,442",Khalilabad
Sant Ravi Das Nagar,IN.UP.SR,"1,578,213",960,Bhadohi
Saran,IN.BR.SR,"3,951,862","2,641",Chhapra
Satara,IN.MH.ST,"3,003,741","10,475",Satara
Satna,IN.MP.ST,"2,228,935","7,502",Satna
Sawai Madhopur,IN.RJ.SM,"1,335,551","4,500",Sawai Madhopur
Sehore,IN.MP.SR,"1,311,332","6,578",Sehore
Senapati,IN.MN.SE,"193,744","3,269",Senapati
Seoni,IN.MP.SO,"1,379,131","8,758",Seoni
Seraikela,IN.JH.SK,"1,065,056","9,906",Chabasa
Serchhip,IN.MZ.SE,"64,937","1,424",Serchhip
Shahdara,IN.DL.SH,,,Shahdara
Shahdol,IN.MP.SL,"1,066,063","9,954",Shahdol
Shahjahanpur,IN.UP.SJ,"3,006,538","4,575",Shahjahanpur
Shajapur,IN.MP.SA,"1,512,681","6,196",Shajapur
Shamli,IN.UP.SM,,,Shamli
Sheikhpura,IN.BR.SP,"636,342",689,Sheikhpura
Sheohar,IN.BR.SO,"656,246",443,Sheohar
Sheopur,IN.MP.SP,"687,861","6,585",Sheopur
Shimla,IN.HP.SH,"814,010","5,131",Shimla
Shimoga,IN.KA.SH,"1,752,753","8,495",Shimoga
Shivpuri,IN.MP.SV,"1,726,050","10,290",Shivpuri
Shravasti,IN.UP.SV,"1,117,361","1,126",Shravasti
Shupiyan,IN.JK.SH,"266,215","1,398",Pulwama
Sibsagar,IN.AS.SV,"1,151,050","2,668",Sibsagar
Siddharth Nagar,IN.UP.SN,"2,559,297","2,751",Navgarh
Sidhi,IN.MP.SD,"1,127,033","10,520",Sidhi
Sikar,IN.RJ.SK,"2,677,333","7,732",Sikar
Simdega,IN.JH.SD,"599,578","9,091",Gumla
Sindhudurg,IN.MH.SI,"849,651","5,207",Oras
Singrauli,IN.MP.SU,"1,178,273","10,520",Sidhi
Sipahijala,IN.TR.SJ,,,Bisramganj
Sirmaur,IN.HP.SI,"529,855","2,825",Nahan
Sirohi,IN.RJ.SR,"1,036,346","5,136",Sirohi
Sirsa,IN.HR.SI,"1,295,189","4,276",Sirsa
Sitamarhi,IN.BR.ST,"3,423,574","2,199",Sitamarhi
Sitapur,IN.UP.SI,"4,483,992","5,743",Sitapur
Sivaganga,IN.TN.SI,"1,339,101","4,086",Sivaganga
Siwan,IN.BR.SW,"3,330,464","2,219",Siwan
Solan,IN.HP.SO,"580,320","1,936",Solan
Solapur,IN.MH.SO,"4,317,756","14,895",Solapur
Sonbhadra,IN.UP.SO,"1,862,559","6,788",Robertsganj
Sonepat,IN.HR.SO,"1,450,001","2,260",Sonepat
Sonepur,IN.OR.SO,"610,183","2,284",Sonepur
Sonitpur,IN.AS.ST,"1,924,110","5,324",Dispur
South,IN.DL.SU,"2,731,929","1,483",Delhi
South Andaman,IN.AN.SA,"238,142","6,408",Port Blair
South East,IN.DL.SS,,,Defence Colony
South Garo Hills,IN.ML.SG,"142,334","1,850",Baghmara
South Goa,IN.GA.SG,"640,537","1,966",Margao
South Salmara-Mankachar,IN.AS.SM,,,
South Sikkim,IN.SK.SS,"146,850",750,Namchi
South Tripura,IN.TR.SO,"876,001","2,152",Udaipur
South West,IN.DL.SW,"2,292,958","1,483",Delhi
South West Garo Hills,IN.ML.GS,,,Ampati
South West Khasi Hills,IN.ML.KS,,,Mawkyrwat
Srikakulam,IN.AD.SR,"2,703,114","5,837",Srikakulam
Srinagar,IN.JK.SN,"1,236,829","2,228",Srinagar
Sukma,IN.CT.SK,,,Sukma
Sultanpur,IN.UP.SL,"3,797,117","4,436",Sultanpur
Sundargarh,IN.OR.SU,"2,093,437","9,942",Sundargarh
Supaul,IN.BR.SU,"2,229,076","2,410",Supaul
Surajpur,IN.CT.SP,,,Surajpur
Surat,IN.GJ.SR,"6,081,322","7,657",Surat
Surendranagar,IN.GJ.SD,"1,756,268","10,489",Surendranagar
Surguja,IN.CT.SG,"2,359,886","15,765",Ambikapur
Tamenglong,IN.MN.TA,"140,651","4,460",Tamenglong
Tapi,IN.GJ.TP,"807,022","7,657",Surat
Tarn Taran,IN.PB.TT,"1,119,627","5,075",Amritsar
Tawang,IN.AR.TA,"49,977","2,172",Tawang
Tehri Garhwal,IN.UT.TG,"618,931","4,085",New Tehri
Thane,IN.MH.TN,"11,060,148","9,558",Thane
Thanjavur,IN.TN.TJ,"2,405,890","3,397",Thanjavur
The Dangs,IN.GJ.DG,"228,291","1,764",Ahwa
Theni,IN.TN.TH,"1,245,899","3,066",Theni
Thiruvallur,IN.TN.TL,"3,728,104","3,424",Thiruvallur
Thiruvananthapuram,IN.KL.TV,"3,301,427","2,192",Thiruvananthapuram
Thiruvarur,IN.TN.TR,"1,264,277","2,161",Thiruvarur
Thoothukudi,IN.TN.TK,"1,750,176","4,621",Thoothukudi
Thoubal,IN.MN.TH,"422,168",514,Thoubal
Thrissur,IN.KL.TS,"3,121,200","3,032",Thrissur
Tikamgarh,IN.MP.TI,"1,445,166","5,055",Tikamgarh
Tinsukia,IN.AS.TI,"1,327,929","3,790",Tinsukia
Tirap,IN.AR.TI,"111,975","2,362",Khonsa
Tiruchirappalli,IN.TN.TC,"2,722,290","4,407",Tiruchirappalli
Tirunelveli,IN.TN.TI,"3,077,233","6,810",Tirunelveli
Tiruppur,IN.TN.TP,"2,479,052","5,106",Tirupur
Tiruvannamalai,IN.TN.TV,"2,464,875","6,191",Tiruvannamalai
Tonk,IN.RJ.TO,"1,421,326","7,194",Tonk
Tuensang,IN.NL.TS,"196,596","4,228",Tuensang
Tumkur,IN.KA.TU,"2,678,980","10,598",Tumkur
24 Parganas North,IN.WB.PN,"10,009,781","4,095",Barasat
24 Parganas South,IN.WB.PS,"8,161,961","9,955",Alipore
Udaipur,IN.RJ.UP,"3,068,420","13,430",Udaipur
Udalguri,IN.AS.UD,"831,668","1,676",Udalguri
Udhampur,IN.JK.UM,"554,985","4,550",Udhampur
Udham Singh Nagar,IN.UT.US,"1,648,902","2,912",Rudrapur
Udupi,IN.KA.UD,"1,177,361","3,879",Udupi
Ujjain,IN.MP.UJ,"1,986,864","6,091",Ujjain
Ukhrul,IN.MN.UK,"183,998","4,547",Ukhrul
Umaria,IN.MP.UM,"644,758","4,062",Umaria
Una,IN.HP.UN,"521,173","1,540",Una
Unakoti,IN.TR.UK,,,Kailasahar
Unnao,IN.UP.UN,"3,108,367","4,558",Unnao
Upper Dibang Valley,IN.AR.DU,"8,004","13,029",Anini
Upper Siang,IN.AR.US,"35,320","6,188",Yingkiong
Upper Subansiri,IN.AR.UB,"83,448","7,032",Daporijo
Uttara Kannada,IN.KA.UK,"1,437,169","10,291",Karwar
Uttar Dinajpur,IN.WB.UD,"3,007,134","3,180",Raigunj
Uttarkashi,IN.UT.UT,"330,086","7,951",Uttarkashi
Vadodara,IN.GJ.VA,"4,165,626","7,794",Vadodara
Vaishali,IN.BR.VA,"3,495,021","2,036",Hajipur
Valsad,IN.GJ.VL,"1,705,678","3,034",Valsad
Varanasi,IN.UP.VA,"3,676,841","1,578",Varanasi
Vellore,IN.TN.VE,"3,936,331","6,077",Vellore
Vidisha,IN.MP.VI,"1,458,875","7,362",Vidisha
Villupuram,IN.TN.VL,"3,458,873","7,217",Villupuram
Virudhunagar,IN.TN.VR,"1,942,288","4,288",Virudhunagar
Vishakhapatnam,IN.AD.VS,"4,290,589","11,161",Vishakhapatnam
Vizianagaram,IN.AD.VZ,"2,344,474","6,539",Vizianagaram
Warangal,IN.TG.WA,"3,512,576","12,846",Warangal
Wardha,IN.MH.WR,"1,300,774","6,309",Wardha
Washim,IN.MH.WS,"1,197,160","5,155",Washim
Wayanad,IN.KL.WA,"817,420","2,131",Kalpetta
West,IN.DL.WE,"2,543,243","1,483",Delhi
West Champaran,IN.BR.WC,"3,935,042","5,229",Bettiah
West Garo Hills,IN.ML.GW,"643,291","3,714",Tura
West Godavari,IN.AD.WG,"3,936,966","7,742",Eluru
West Imphal,IN.MN.WI,"517,992",519,Lamphelpat
West Jaintia Hills,IN.ML.JW,,,Jowai
West Kameng,IN.AR.WK,"83,947","7,422",Bomdila
West Karbi Anglong,IN.AS.WK,,,
West Khasi Hills,IN.ML.KW,"383,461","5,247",Nongstoin
West Nimar,IN.MP.WN,"1,873,046","8,010",Khargone
West Siang,IN.AR.WS,"112,274","8,325",Along
West Sikkim,IN.SK.WS,"136,435","1,166",Gezing
West Tripura,IN.TR.WE,"1,725,739","2,997",Agartala
Wokha,IN.NL.WO,"166,343","1,628",Wokha
Yadgir,IN.KA.YD,"1,174,271","16,224",Gulbarga
Yamuna Nagar,IN.HR.YN,"1,214,205","1,756",Yamuna Nagar
Yanam,IN.PY.YA,"55,626",30,Yanam
Yavatmal,IN.MH.YA,"2,772,348","13,582",Yavatmal
Zunheboto,IN.NL.ZU,"140,757","1,255",Zunheboto
